RIC,Date,Name,ISIN Code,TRBC Industry Group Name
AMBUb.CO,2024-12-31,AMBU ORD,DK0060946788,Healthcare Equipment & Supplies
ISS.CO,2024-12-31,ISS A/S,DK0060542181,Professional & Commercial Services
ROCKb.CO,2024-12-31,ROCKWOOL AS ORD,DK0063855168,Construction Materials
TRYG.CO,2024-12-31,TRYGVESTA ORD,DK0060636678,Insurance
DSV.CO,2024-12-31,DSV AS ORD,DK0060079531,Freight & Logistics Services
CARLb.CO,2024-12-31,CARLSBERG ORD,DK0010181759,Beverages
PNDORA.CO,2024-12-31,PANDORA ORD,DK0060252690,Textiles & Apparel
COLOb.CO,2024-12-31,COLOPLAST ORD,DK0060448595,Healthcare Equipment & Supplies
OUT1V.HE,2019-12-31,OUTOKUMPU OYJ ORD,FI0009002422,Metals & Mining
TYRES.HE,2019-12-31,NOKIAN TYRES PLC ORD,FI0009005318,Automobiles & Auto Parts
VALMT.HE,2019-12-31,VALMET CORP,FI4000074984,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
METSB.HE,2019-12-31,M-REAL ORD,FI0009000665,Containers & Packaging
KNEBV.HE,2019-12-31,KONE ORD,FI0009013403,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
HIAB.HE,2019-12-31,CARGOTEC ORD,FI4000571013,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
TELIA1.HE,2019-12-31,TELIA CO AB ORD,SE0000667925,Telecommunications Services
KEMIRA.HE,2019-12-31,KEMIRA OYJ ORD,FI0009004824,Chemicals
ORNBV.HE,2019-12-31,ORION ORD,FI0009014377,Pharmaceuticals
NESTE.HE,2019-12-31,NESTE OYJ ORD,FI0009013296,Oil & Gas
METSO.HE,2019-12-31,OUTOTEC OYJ ORD,FI0009014575,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
STERV.HE,2019-12-31,STORA ENSO R ORD,FI0009005961,Containers & Packaging
SAMPO.HE,2019-12-31,SAMPO PLC ORD,FI4000552500,Insurance
NOKIA.HE,2019-12-31,NOKIA ORD,FI0009000681,Communications & Networking
FORTUM.HE,2019-12-31,FORTUM ORD,FI0009007132,Electric Utilities & IPPs
WRT1V.HE,2019-12-31,WARTSILA ORD,FI0009003727,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
NELES.HE^D22,2019-12-31,METSO ORD,FI4000440664,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
NDAFI.HE,2019-12-31,NORDEA BANK ABP ORD,FI4000297767,Banking Services
ELISA.HE,2019-12-31,ELISA ORD,FI0009007884,Telecommunications Services
UPM.HE,2019-12-31,UPM-KYMMENE OY ORD,FI0009005987,Paper & Forest Products
TIETO.HE,2019-12-31,TIETOENATOR ORD,FI0009000277,Software & IT Services
KCRA.HE,2019-12-31,KONECRANES OYJ ORD,FI0009005870,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
HUH1V.HE,2019-12-31,HUHTAMAKI SR I ORD,FI0009000459,Containers & Packaging
KESKOB.HE,2019-12-31,KESKO ORD,FI0009000202,Food & Drug Retailing
OUT1V.HE,2020-12-31,OUTOKUMPU OYJ ORD,FI0009002422,Metals & Mining
TYRES.HE,2020-12-31,NOKIAN TYRES PLC ORD,FI0009005318,Automobiles & Auto Parts
VALMT.HE,2020-12-31,VALMET CORP,FI4000074984,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
METSB.HE,2020-12-31,M-REAL ORD,FI0009000665,Containers & Packaging
KNEBV.HE,2020-12-31,KONE ORD,FI0009013403,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
HIAB.HE,2020-12-31,CARGOTEC ORD,FI4000571013,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
TELIA1.HE,2020-12-31,TELIA CO AB ORD,SE0000667925,Telecommunications Services
KEMIRA.HE,2020-12-31,KEMIRA OYJ ORD,FI0009004824,Chemicals
KOJAMO.HE,2020-12-31,KOJAMO OYJ ORD,FI4000312251,Real Estate Operations
ORNBV.HE,2020-12-31,ORION ORD,FI0009014377,Pharmaceuticals
NESTE.HE,2020-12-31,NESTE OYJ ORD,FI0009013296,Oil & Gas
METSO.HE,2020-12-31,METSO OUTOTEC CORPORATION ORD,FI0009014575,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
STERV.HE,2020-12-31,STORA ENSO R ORD,FI0009005961,Containers & Packaging
SAMPO.HE,2020-12-31,SAMPO PLC ORD,FI4000552500,Insurance
NOKIA.HE,2020-12-31,NOKIA ORD,FI0009000681,Communications & Networking
FORTUM.HE,2020-12-31,FORTUM ORD,FI0009007132,Electric Utilities & IPPs
WRT1V.HE,2020-12-31,WARTSILA ORD,FI0009003727,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
NELES.HE^D22,2020-12-31,NELES CORPORATION ORD,FI4000440664,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
NDAFI.HE,2020-12-31,NORDEA BANK ABP ORD,FI4000297767,Banking Services
ELISA.HE,2020-12-31,ELISA ORD,FI0009007884,Telecommunications Services
UPM.HE,2020-12-31,UPM-KYMMENE OY ORD,FI0009005987,Paper & Forest Products
TIETO.HE,2020-12-31,TIETOENATOR ORD,FI0009000277,Software & IT Services
KCRA.HE,2020-12-31,KONECRANES OYJ ORD,FI0009005870,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
HUH1V.HE,2020-12-31,HUHTAMAKI SR I ORD,FI0009000459,Containers & Packaging
KESKOB.HE,2020-12-31,KESKO ORD,FI0009000202,Food & Drug Retailing
OUT1V.HE,2021-12-31,OUTOKUMPU OYJ ORD,FI0009002422,Metals & Mining
TYRES.HE,2021-12-31,NOKIAN TYRES PLC ORD,FI0009005318,Automobiles & Auto Parts
VALMT.HE,2021-12-31,VALMET CORP,FI4000074984,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
METSB.HE,2021-12-31,M-REAL ORD,FI0009000665,Containers & Packaging
KNEBV.HE,2021-12-31,KONE ORD,FI0009013403,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
HIAB.HE,2021-12-31,CARGOTEC ORD,FI4000571013,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
TELIA1.HE,2021-12-31,TELIA CO AB ORD,SE0000667925,Telecommunications Services
KEMIRA.HE,2021-12-31,KEMIRA OYJ ORD,FI0009004824,Chemicals
KOJAMO.HE,2021-12-31,KOJAMO OYJ ORD,FI4000312251,Real Estate Operations
ORNBV.HE,2021-12-31,ORION ORD,FI0009014377,Pharmaceuticals
NESTE.HE,2021-12-31,NESTE OYJ ORD,FI0009013296,Oil & Gas
METSO.HE,2021-12-31,METSO OUTOTEC CORPORATION ORD,FI0009014575,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
QTCOM.HE,2021-12-31,QT GROUP ORD,FI4000198031,Software & IT Services
STERV.HE,2021-12-31,STORA ENSO R ORD,FI0009005961,Containers & Packaging
SAMPO.HE,2021-12-31,SAMPO PLC ORD,FI4000552500,Insurance
